+--+-------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Id|Name                                                                                                                                 |Address                                         |Content                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
+--+-------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|1 |Бобруйская крепость                                                                                                                  |ул. Карбышева 11                                |Бобруйская крепость - старейший памятник истории и архитектуры города. Решение о ее строительстве принято российским императором Александром I. Автором проекта стал граф Карл Иванович Опперман - генерал-лейтенант, инспектор инженерного корпуса русской армии. Строительство крепости началось в 1810 году, к середине 1812 года основные фортификационные сооружения были, в основном, завершены.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  |                                                                                                                                     |                                                |Цитадель в плане - многоугольник, сомкнутый насыпным валом со стороны реки Березина. Основная оборонительная линия крепости состояла из 8 бастионов. Долговременные оборонительные постройки сделаны из кирпича, имели сводчатые перекрытия, бойницы.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  |                                                                                                                                     |                                                |На территории Беларуси такого типа крепостей имелось только две - Бобруйская и Брестская. Бобруйская крепость - свидетель событий 1812 года, декабристского движения, гражданской и Великой Отечественной войн. «Ни одна крепость в России никогда не была столь полезной, как Бобруйск в 1812 году» - писал генерал-майор А.И.Михайловский-Данилевский в книге «Герои Отечественной войны».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  |                                                                                                                                     |                                                |Сохранившиеся до настоящего времени крепостные сооружения являются памятниками инженерного искусства, военные и гражданские здания на территории крепости - памятниками архитектуры стиля «классицизм».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|2 |Мемориальный комплекс                                                                                                                |пл. Победы                                      |В 1944 году здесь был захоронен командир 9-го танкового корпуса генерал-майор Бахаров Борис Сергеевич, освобождавший наш город от немецко-фашистских захватчиков. На могиле установлен памятник-танк Т-34, башенный номер 300, калибр пушки 76 мм, на стволе пушки 10 звездочек - количество уничтоженных танков противника.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  |                                                                                                                                     |                                                |Рядом с памятником-танком похоронены К.К.Воробьев, Г.Н.Логачев, Н.И.Барышев, братья Аркадий и Анатолий Прибыльские.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  |                                                                                                                                     |                                                |В 1958 году на могилах погибших воинов были установлены обелиски. В 1985 году к 40-летию Победы произведена реконструкция площади Победы и мемориального комплекса. Сегодняшний облик мемориальный комплекс и площадь Победы приобрели после реконструкции, произведенной в 2005 году к 60-летию Победы.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|3 |Памятник В.И. Ленину                                                                                                                 |площадь им. В.И. Ленина                         |Установлен в 1969 году на центральной площади города. Скульптор П.Белоусов, архитектор Н.Мызников. Изготовлен из бронзы, черного лабродарита, бетона.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  |                                                                                                                                     |                                                |Монументальная пластика, выразительность силуэта, удачно найденный масштаб ставят памятник в ряд лучших произведений монументального искусства на Могилевщине.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
